,datadate,datatime,ticker,exchangecd,lastprice,volume,side
4225,20161121,14:34:33,300559,XSHE,91.29,1000,B
4227,20161121,14:34:39,300559,XSHE,91.28,500,S
4228,20161121,14:34:42,300559,XSHE,91.28,1000,S
4229,20161121,14:34:45,300559,XSHE,91.29,1400,B
4230,20161121,14:34:48,300559,XSHE,91.28,1300,S
4231,20161121,14:34:51,300559,XSHE,91.25,500,S
4232,20161121,14:34:54,300559,XSHE,91.28,200,B
4233,20161121,14:34:57,300559,XSHE,91.28,1000,B
4234,20161121,14:35:00,300559,XSHE,91.25,500,S
4236,20161121,14:35:06,300559,XSHE,91.21,500,S
4237,20161121,14:35:09,300559,XSHE,91.21,100,S
4238,20161121,14:35:12,300559,XSHE,91.21,2100,S
4239,20161121,14:35:15,300559,XSHE,91.21,200,B
4240,20161121,14:35:18,300559,XSHE,91.23,1500,B
4241,20161121,14:35:21,300559,XSHE,91.2,7433,S
4242,20161121,14:35:24,300559,XSHE,91.2,300,B
4244,20161121,14:35:30,300559,XSHE,91.2,100,B
4245,20161121,14:35:33,300559,XSHE,91.19,1100,S
4246,20161121,14:35:36,300559,XSHE,91.17,1000,S
4247,20161121,14:35:39,300559,XSHE,91.17,900,S
4248,20161121,14:35:42,300559,XSHE,91.15,600,S
4249,20161121,14:35:45,300559,XSHE,91.18,1100,B
4250,20161121,14:35:48,300559,XSHE,91.17,1600,S
4251,20161121,14:35:51,300559,XSHE,91.16,600,S
4252,20161121,14:35:54,300559,XSHE,91.12,2300,S
4253,20161121,14:35:57,300559,XSHE,91.12,800,S
4254,20161121,14:36:00,300559,XSHE,91.1,2900,S
4255,20161121,14:36:03,300559,XSHE,91.1,100,S
4256,20161121,14:36:06,300559,XSHE,91.1,600,B
4257,20161121,14:36:09,300559,XSHE,91.08,2600,S
4258,20161121,14:36:12,300559,XSHE,91.1,1200,B
4259,20161121,14:36:15,300559,XSHE,91.05,1800,S
4260,20161121,14:36:18,300559,XSHE,91.08,1600,B
4261,20161121,14:36:21,300559,XSHE,91.08,2000,B
4262,20161121,14:36:24,300559,XSHE,91.05,700,S
4263,20161121,14:36:27,300559,XSHE,91.05,1600,B
4264,20161121,14:36:30,300559,XSHE,91.04,4000,S
4265,20161121,14:36:33,300559,XSHE,91.1,16067,B
4266,20161121,14:36:36,300559,XSHE,91.0,38633,S
4267,20161121,14:36:39,300559,XSHE,90.99,1300,S
4268,20161121,14:36:42,300559,XSHE,91.0,500,B
4269,20161121,14:36:45,300559,XSHE,90.95,200,S
4271,20161121,14:36:51,300559,XSHE,90.9,3400,S
4272,20161121,14:36:54,300559,XSHE,90.9,1000,S
4273,20161121,14:36:57,300559,XSHE,90.9,3167,S
4274,20161121,14:37:00,300559,XSHE,90.9,2000,S
4275,20161121,14:37:03,300559,XSHE,90.9,233,B
4276,20161121,14:37:06,300559,XSHE,90.89,200,S
4277,20161121,14:37:09,300559,XSHE,90.89,500,B
4278,20161121,14:37:12,300559,XSHE,90.89,1000,B
4279,20161121,14:37:15,300559,XSHE,90.89,2900,B
